Financing Country  (and entity),Financing Country,Institution,Project Name ,MW, Amount (in USD)  , Amount Sources , Estimated Amount2 , Total Project Value , TPV Sources , EPC Revenue , Insurance cover ,Financial Close Date,Year Financed,Region ,Recipient Country ,Recipient Subregion,Sponsors/Parents,Project Sponsor (GCPT)2,EPC Company,Generator Manufacturer,Turbine Maker,Boiler Maker,Sector Group ,Sector ,Latitude,Longitude,Location Accuracy,Phase ID,URL,Source 1,Source 2,Source 3+,GEMTrackerIDs,GEMTrackerLOC,Other and Chinese Names,OpYEAR,Plant Type ,Coal Mine Size (Mtpa)
China,China,China Development Bank,Stanari 300 MW Thermal Power Plant ,300,,,,,,,,6/19/2012,2012,Europe & Central Asia,Bosnia and Herzegovina,,EFT Group,#N/A,Sinohydro 7,Dongfang Electric,,,Coal Power Plant,Coal Power Plant - New,44.759289,17.823207,approximate,PH311.01,,http://www.eft-group.net/index.php/news/single/62/EFT-and-China-Development-Bank-in-EUR-350-million-financing-deal-for-Stanari-TPP,http://www.sinosure.com.cn/sinosure/wwcbxm/zcqckxybx/171356.html ,,,,,,Subcritical,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),Banovici Coal Plant (350MW),350,"$416,500,000 ",,,"$490,000,000 ",,,,1/1/1950,2050,Europe & Central Asia,Bosnia and Herzegovina,Tuzla,RMU Banovici,,Dongfang Electric (DONGFANG),Dongfang Electric Corp (DONGFANG),,,Coal Power Plant,Coal Power Plant - New,44.4,18.5333,approximate,PH008.01,https://www.gem.wiki/Banovici_power_station,https://seenews.com/news/croatias-igh-to-supervise-construction-of-bosnias-banovici-tpp-under-715-mln-euro-deal-667846,https://serbia-energy.eu/bosnia-and-herzegovina-fbih-government-to-accelerate-tpp-tuzla-banovici-projects/,"https://ijglobal.com/data/transaction/28660
https://bankwatch.org/project/banovici-lignite-power-plant-bosnia-and-herzegovina#project-news",,L100094,,2020,Supercritical,
China (EPC),China,Sinomach,Gacko II Coal Plant (350MW),350,,,"$411,600,000 ","$588,000,000 ",,,,1/1/1950,2050,Europe & Central Asia,Bosnia and Herzegovina,,Elektroprivreda Republike Srpske,#N/A,China Machinery Engineering Corp (SinoMach),,,,Coal Power Plant,Coal Power Plant - New,43.172259,18.512728,exact,PH366.01,https://www.gem.wiki/Gacko_Thermal_Power_Plant,https://bankwatch.org/wp-content/uploads/2019/12/China-Balkans-briefing_Dec-2019.pdf,,,,,,,,
China (EPC),China,EnergyChina,Tuzla Thermal Power Plant Unit 7 (450MW),450,,,,"$1,037,647,059 ",,"$862,000,000 ",,12/31/2017,2017,Europe & Central Asia,Bosnia and Herzegovina,Tuzla City,Elektroprivreda BiH,,"Gezhouba International Engineering Co., Ltd.(EnergyChina)","Alstom SA (ALSTOM), Siemens AG (SIEMENS)","Alstom SA (ALSTOM), Siemens AG (SIEMENS)","Alstom SA (ALSTOM), Siemens AG (SIEMENS)",Coal Power Plant,Coal Power Plant - New,44.52,18.606111,approximate,PH167.01,https://www.gem.wiki/Tuzla_Thermal_Power_Plant,https://seenews.com/news/china-gezhouba-to-start-building-unit-at-bosnias-tuzla-tpp-in-august-report-708371,https://www.chinadialogue.net/article/show/single/en/11969-Why-the-Balkans-is-struggling-to-kick-coal,"http://bankwatch.org/news-media/blog/public-bosnia-herzegovina-pay-shaky-economics-tuzla-7-coal-plant-will-officials-take
https://www.climatechangenews.com/2020/01/14/china-backed-coal-plants-eus-doorstep-hide-huge-carbon-costs/
https://bankwatch.org/wp-content/uploads/2019/12/China-Balkans-briefing_Dec-2019.pdf",,L100100,,,Supercritical,
China,China,China Export & Credit Insurance Corporation (Sinosure),Tuzla Thermal Power Plant Unit 7 (450MW),450,,,,"$1,037,647,059 ",,,,12/31/2017,2017,Europe & Central Asia,Bosnia and Herzegovina,Tuzla City,Elektroprivreda BiH,,"Gezhouba International Engineering Co., Ltd.(EnergyChina)","Alstom SA (ALSTOM), Siemens AG (SIEMENS)","Alstom SA (ALSTOM), Siemens AG (SIEMENS)","Alstom SA (ALSTOM), Siemens AG (SIEMENS)",Coal Power Plant,Coal Power Plant - New,44.52,18.606111,approximate,PH167.01,https://www.gem.wiki/Tuzla_Thermal_Power_Plant,"https://bankwatch.org/press_release/european-banks-must-not-support-a-new-sostanj-6-in-bosnia-herzegovina-warn-ngos
https://www.epbih.ba/novost/20190/guarantee",https://www.chinadialogue.net/article/show/single/en/11969-Why-the-Balkans-is-struggling-to-kick-coal,"http://bankwatch.org/news-media/blog/public-bosnia-herzegovina-pay-shaky-economics-tuzla-7-coal-plant-will-officials-take
https://www.climatechangenews.com/2020/01/14/china-backed-coal-plants-eus-doorstep-hide-huge-carbon-costs/
https://bankwatch.org/wp-content/uploads/2019/12/China-Balkans-briefing_Dec-2019.pdf",,L100100,,,Supercritical,
China,China,Export Import Bank of China (Chexim),Tuzla Thermal Power Plant Unit 7 (450MW),450,"$882,000,000 ",,,"$1,037,647,059 ",,,,12/31/2017,2017,Europe & Central Asia,Bosnia and Herzegovina,Tuzla City,Elektroprivreda BiH,,"Gezhouba International Engineering Co., Ltd.(EnergyChina)","Alstom SA (ALSTOM), Siemens AG (SIEMENS)","Alstom SA (ALSTOM), Siemens AG (SIEMENS)","Alstom SA (ALSTOM), Siemens AG (SIEMENS)",Coal Power Plant,Coal Power Plant - New,44.52,18.606111,approximate,PH167.01,https://www.gem.wiki/Tuzla_Thermal_Power_Plant,https://www.reuters.com/article/us-bosnia-energy-loans/bosnian-parliament-gives-go-ahead-to-chinese-energy-loan-guarantee-idUSKCN1QO1XI,https://www.chinadialogue.net/article/show/single/en/11969-Why-the-Balkans-is-struggling-to-kick-coal,"http://bankwatch.org/news-media/blog/public-bosnia-herzegovina-pay-shaky-economics-tuzla-7-coal-plant-will-officials-take
https://www.climatechangenews.com/2020/01/14/china-backed-coal-plants-eus-doorstep-hide-huge-carbon-costs/
https://bankwatch.org/wp-content/uploads/2019/12/China-Balkans-briefing_Dec-2019.pdf",,L100100,,,Supercritical,
China (Equity+EPC),China,EnergyChina,Kamengrad Coal Plant (430MW),430,,,,,,,,1/1/1999,2099,Europe & Central Asia,Bosnia and Herzegovina,,"Lager Group, EnergyChina",#N/A,EnergyChina,,,,Coal Power Plant,Coal Power Plant - New,44.766667,16.666667,approximate,PH374.01,https://www.gem.wiki/Kamengrad_Thermal_Power_Plant,https://bankwatch.org/wp-content/uploads/2019/12/China-Balkans-briefing_Dec-2019.pdf,,,,L100098,,,,
China,China,China Development Bank,Ugljevik 3 (600MW),600,"$782,250,000 ",,,,,,,1/1/1999,2099,Europe & Central Asia,Bosnia and Herzegovina,"Ugljevik, Srpska",,#N/A,CPECC (EnergyChina),,,,Coal Power Plant,Coal Power Plant - Expansion,44.683446,18.968516,exact,PH168.01,http://bit.ly/1WPonfA,https://bankwatch.org/wp-content/uploads/2019/12/China-Balkans-briefing_Dec-2019.pdf,http://renewables.seenews.com/news/comsar-energy-to-invest-some-1-0-bln-euro-in-bosnia-s-tpp-ugljevik-3-hpp-mrsovo-media-324567#,http://www.freetradezoneconsulting.com/eng.php?cat_code=sewyxx&art_id=809,,L100104,,,Subcritical,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),Morupule A Coal Plant (132MW),132,"$482,500,000 ",,,,,,,5/12/2009,2009,Sub-Saharan Africa,Botswana,,China National Electric Equipment Corporation,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,-22.5195,27.037,exact,PH279.01,https://www.gem.wiki/Morupule_B_power_station,http://bw.china-embassy.org/eng/jmwl/t568176.htm,http://www.bloomberg.com/apps/news?pid=newsarchive&sid=abcKF30kOtec,http://siteresources.worldbank.org/INTGUARANTEES/Resources/BotswanapowerMorupule.pdf,,,,,,
Multilateral,Multilateral,African Development Bank (AfDB),Morupule B Coal Plant Units 1-4 (150MW) ,150,"$239,904,000 ",,,,,,,10/28/2009,2009,Sub-Saharan Africa,Botswana,,Government of Botswana,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,https://www.gem.wiki/Morupule_B_power_station,http://www.afdb.org/en/news-and-events/article/afdb-approves-eur-153-million-for-botswana-power-project-5255/,,http://siteresources.worldbank.org/INTGUARANTEES/Resources/BotswanapowerMorupule.pdf,,,,,,
Multilateral,Multilateral,World Bank - International Bank for Reconstruction and Development,Morupule B Coal Plant Units 1-4 (150MW) ,150,"$379,060,000 ",,,,,,,10/29/2009,2009,Sub-Saharan Africa,Botswana,,Government of Botswana,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,https://www.gem.wiki/Morupule_B_power_station,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2011/02/04/000334955_20110204023727/Rendered/PDF/593910BRI0Bots10Box358280B01PUBLIC1.pdf,,http://siteresources.worldbank.org/INTGUARANTEES/Resources/BotswanapowerMorupule.pdf,,,,,,
South Africa,South Africa,Development Bank of Southern Africa,Mabesekwa Export IPP Coal Plant (600MW),600,,,,,,,,1/1/1950,2050,Sub-Saharan Africa,Botswana,Central,"Kibo Energy (85%), Shumba Energy (15%)","Shumba Energy, Mulilo Group",,,,,Coal Power Plant,,-21.1736,27.5125,Approximate,PH387.01,https://www.gem.wiki/Mabesekwa_Export_Independent_Power_Plant,,,,G106539-42,L100108,,,Subcritical,
China,China,TBD,Sese Integrated Power Project (300MW),300,,,,,,,,1/1/1950,2050,Sub-Saharan Africa,Botswana,North East,First Quantum Minerals,"African Energy Resources, First Quantum Minerals",,,,,Coal Power Plant,,-21.3788,27.44052,Approximate,PH401.01,https://www.gem.wiki/Sese_Integrated_Power_Project,"http://africanenergyresources.com/wp-content/uploads/2016/05/2018-11-16-AFR-AGM-Presentation.pdf
","https://www.openbriefing.com/AsxDownload.aspx?pdfUrl=Report%2FComNews%2F20200731%2F02260999.pdf 
http://africanenergyresources.com/wp-content/uploads/2016/05/African-Energy-Annual-Report-2019-2.pdf","https://www.africa-energy.com/live-data/sales
https://www.africa-energy.com/database/sese-integrated-power-project-coal
https://www.africa-energy.com/article/botswana-sese-coal-plant-obtains-generation-licence
https://ieefa.org/ieefa-africa-botswana-plans-more-coal-fired-power-as-african-solar-accelerates/",G108937-8,L100116,,,Unknown,
Domestic,Domestic,"Ministry of Minerals, Energy and Water Resources (Botswana)",Lesedi Coal Bed Methane IPP (100MW) PPP,100,,,,,,,,1/1/1950,2050,Sub-Saharan Africa,Botswana,,,#N/A,,,,,Coal - Other/Unspecified,Gas-Fired,,,,,,https://ijglobal.com/data/transaction/40758/lesedi-coal-bed-methane-ipp-100mw-ppp,,,,,,,,
South Korea,South Korea,TBD,Morupule A Coal Plant Refurbishment  (132MW),132,"$204,000,000 ",,,,,,,1/1/1954,2054,Sub-Saharan Africa,Botswana,"Palapye, Central",,#N/A,Doosan Engineering & Construction (DOOSAN),,,,Coal Power Plant,Coal Power Plant - Existing,-22.5195,27.037,,PH108.01,https://www.gem.wiki/Morupule_B_power_station,http://www.sundaystandard.info/botswana-fresh-multi-billion-power-project-blunder,http://www.sourcewatch.org/index.php/Morupule_A_Power_Station,https://ijglobal.com/data/transaction/33236/morupule-coal-fired-plant-300mw-ppp,,L100113,,2018,Subcritical,
Japan,Japan,Japan Bank for International Cooperation (JBIC),REJECTED - Morupule B Coal Plant Units 5 and 6 (300MW) ,0,"$106,660,000 ",,,"$800,000,000 ",,,,1/1/1954,2054,Sub-Saharan Africa,Botswana,"Palapye, Central","Marubeni, Posco",#N/A,,,,,Coal Power Plant,Coal Power Plant - New,-22.5223291,27.0488334,,PH108.02,https://www.gem.wiki/Morupule_B_power_station,https://ijglobal.com/data/transaction/33236/morupule-coal-fired-plant-300mw-ppp,"http://english.hankyung.com/business/2016/12/08/1043251/posco-energy-signs-800-mil-deal-to-build-coalfueled-power-plant-in-botswana
http://www.sundaystandard.info/botswana-fresh-multi-billion-power-project-blunder",http://af.reuters.com/article/africaTech/idAFL8N1HK472,,L100114,,,Subcritical,
Japan,Japan,Nippon Export and Investment Insurance (NEXI),REJECTED - Morupule B Coal Plant Units 5 and 6 (300MW) ,0,"$106,660,000 ",,,"$800,000,000 ",,,,1/1/1954,2054,Sub-Saharan Africa,Botswana,"Palapye, Central","Marubeni, Posco",#N/A,,,,,Coal Power Plant,Coal Power Plant - New,-22.5223291,27.0488334,,PH108.02,https://www.gem.wiki/Morupule_B_power_station,https://ijglobal.com/data/transaction/33236/morupule-coal-fired-plant-300mw-ppp,"http://english.hankyung.com/business/2016/12/08/1043251/posco-energy-signs-800-mil-deal-to-build-coalfueled-power-plant-in-botswana
http://www.sundaystandard.info/botswana-fresh-multi-billion-power-project-blunder",http://www.nocoaljapan.org/jbic-nexi-stopped-morupuleb/,,L100114,,,Subcritical,
South Korea,South Korea,KEPCO,CANCELLED - Morupule Unit 7 and 8 (300MW),0,,,,,,,,1/1/1954,2054,Sub-Saharan Africa,Botswana,"Palapye, Central",,#N/A,Doosan Engineering & Construction (DOOSAN),,,,Coal Power Plant,Coal Power Plant - Existing,-22.5195,27.037,,PH108.03,https://www.gem.wiki/Morupule_B_power_station,,,,,L100113,,2018,Subcritical,
China (Equity+EPC),China,maybe PowerChina,KP1 Coal Plant for Petrochemicals (300MW),300,,,,,,,,1/1/1955,2055,Sub-Saharan Africa,Botswana,,"Shumba, Kibo",#N/A,,,,,Coal Power Plant,,,,,,,https://markets.ft.com/data/announce/full?dockey=1323-14338007-6HROHR6VVIJTJHGQB3G6FG5BNG,https://ijglobal.com/data/transaction/48443?name=Mabesekwa%20KP1%20Coal-Fired%20Power%20Plant%20(300MW)%20IPP&link=%2Farticles%2F142834%2Fkibo-energy-to-expand-botswana-coal-fired-ipp,,,,,,,
China (Equity+EPC),China,maybe PowerChina,Mabesekwa KP2 Coal-Fired Power Plant (300MW),300,,,,,,,,1/1/1955,2055,Sub-Saharan Africa,Botswana,,"Shumba, Kibo",#N/A,,,,,Coal Power Plant,,,,,,,https://ijglobal.com/data/transaction/46313?name=Mabesekwa%20KP2%20Coal-Fired%20Power%20Plant%20(300MW)%20IPP&link=%2Farticles%2F142834%2Fkibo-energy-to-expand-botswana-coal-fired-ipp,,,,,,,,
South Korea,South Korea,Export-Import Bank of Korea (Kexim) ,Morupule B Coal Plant Units 5 and 6 (300MW) ,300,"$106,660,000 ",,,"$800,000,000 ",,,,1/1/1999,2099,Sub-Saharan Africa,Botswana,"Palapye, Central","Marubeni, Posco",#N/A,GS Engineering & Construction (GSEC),,,,Coal Power Plant,Coal Power Plant - New,-22.5223291,27.0488334,,PH108.02,https://www.gem.wiki/Morupule_B_power_station,https://ijglobal.com/data/transaction/33236/morupule-coal-fired-plant-300mw-ppp,http://www.koreatimes.co.kr/www/news/biz/2015/11/123_192083.html,https://www.jbic.go.jp/wp-content/uploads/projects/2016/09/49320/ESIAStatement3.pdf,,L100114,,,Subcritical,
Japan,Japan,Nippon Export and Investment Insurance (NEXI),Cirebon Coal Plant Phase 3 (1000MW),1000,"$807,200,000 ",,,,,,,1/1/2000,2100,Southeast Asia,Indonesia,West Java,,,,,,,Coal Power Plant,Coal Power Plant - Expansion,åÊ-6.7702857,108.6148578,,PH022.01,https://www.gem.wiki/Cirebon_power_station,,,,,L102814,,,,
China,China,China Development Bank,Presidente MÌ©dici Candiota Coal Plant (350 MW),350,"$356,000,000 ",,,,,,,1/1/2008,2008,Latin America & Caribbean,Brazil,"Candiota, Rio Grande do Sul",Cia GeraÌ¤Ì£o TÌ©rmica Energia ElÌ©trica,#N/A,,,,,Coal Power Plant,Coal Power Plant - Expansion,-31.5514,-53.6828,exact,PH290.01,,"Gallagher, Kevin P (2017), ‰ÛÏChina‰Ûªs Global Energy Finance,‰Û Global Economic Governance Initiative, Boston University",http://www.sourcewatch.org/index.php/Presidente_M%C3%A9dici_Candiota_power_station,,,,,,Supercritical,
Multilateral,Multilateral,Inter-American Development Bank,PÌ©cem Thermoelectric Power Plant Project,,"$147,000,000 ",,,,,,,3/20/2009,2009,Latin America & Caribbean,Brazil,,Energias do Brasil S.A. and MPX Energia S.A.,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,http://www.shiftthesubsidies.org/projects/713,,,,,,,,
Multilateral,Multilateral,Inter-American Development Bank,TermoMaranhao Thermoelectric Power Plant Project,,"$50,000,000 ",,,,,,,3/20/2009,2009,Latin America & Caribbean,Brazil,,UTE Porto do Itaqui GeraÌ¤Ì£o de Energia Ltda.,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,http://www.shiftthesubsidies.org/projects/707,,,,,,,,
Multilateral,Multilateral,World Bank - International Finance Corporation,Porto de Sergipe IåÊCCGT Power Plant (1.5GW),1500,"$200,000,000 ",,,,,,,4/4/2018,2018,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,39433,,https://ijglobal.com/data/transaction/39433/porto-de-sergipe-i-ccgt-power-plant-15gw,,,,,,,,
Private or Other,Private or Other,Deloitte,Porto de Sergipe IåÊCCGT Power Plant (1.5GW),1500,"$2,041,850,000 ",,,,,,,4/4/2018,2018,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,39433,,https://ijglobal.com/data/transaction/39433/porto-de-sergipe-i-ccgt-power-plant-15gw,,,,,,,,
Private or Other,Private or Other,Mayer Brown,Porto de Sergipe IåÊCCGT Power Plant (1.5GW),1500,"$2,041,850,000 ",,,,,,,4/4/2018,2018,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,39433,,https://ijglobal.com/data/transaction/39433/porto-de-sergipe-i-ccgt-power-plant-15gw,,,,,,,,
Private or Other,Private or Other,Milbank Tweed Hadley & McCloy,Porto de Sergipe IåÊCCGT Power Plant (1.5GW),1500,"$2,041,850,000 ",,,,,,,4/4/2018,2018,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,39433,,https://ijglobal.com/data/transaction/39433/porto-de-sergipe-i-ccgt-power-plant-15gw,,,,,,,,
Private or Other,Private or Other,Mott MacDonald,Porto de Sergipe IåÊCCGT Power Plant (1.5GW),1500,"$2,041,850,000 ",,,,,,,4/4/2018,2018,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,39433,,https://ijglobal.com/data/transaction/39433/porto-de-sergipe-i-ccgt-power-plant-15gw,,,,,,,,
Private or Other,Private or Other,Santander,Porto de Sergipe IåÊCCGT Power Plant (1.5GW),1500,"$2,041,850,000 ",,,,,,,4/4/2018,2018,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,39433,,https://ijglobal.com/data/transaction/39433/porto-de-sergipe-i-ccgt-power-plant-15gw,,,,,,,,
Private or Other,Private or Other,White & Case,Porto de Sergipe IåÊCCGT Power Plant (1.5GW),1500,"$2,041,850,000 ",,,,,,,4/4/2018,2018,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,39433,,https://ijglobal.com/data/transaction/39433/porto-de-sergipe-i-ccgt-power-plant-15gw,,,,,,,,
Private or Other,Private or Other,Willis,Porto de Sergipe IåÊCCGT Power Plant (1.5GW),1500,"$2,041,850,000 ",,,,,,,4/4/2018,2018,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,39433,,https://ijglobal.com/data/transaction/39433/porto-de-sergipe-i-ccgt-power-plant-15gw,,,,,,,,
Private or Other,Private or Other,Willis,Porto de Sergipe IåÊCCGT Power Plant (1.5GW),1500,"$2,041,850,000 ",,,,,,,4/4/2018,2018,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,39433,,https://ijglobal.com/data/transaction/39433/porto-de-sergipe-i-ccgt-power-plant-15gw,,,,,,,,
United States (Commercial),United States (Commercial),General Electric,Porto de Sergipe IåÊCCGT Power Plant (1.5GW),1500,"$120,000,000 ",,,,,,,4/4/2018,2018,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,39433,,https://ijglobal.com/data/transaction/39433/porto-de-sergipe-i-ccgt-power-plant-15gw,,,,,,,,
China,China,China Co-financing Fund for Latin America and the Caribbean,Porto de Sergipe IåÊCCGT Power Plant (1.5GW),1500,"$50,000,000 ",,,,,,,4/4/2018,2018,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,39433,,https://ijglobal.com/data/transaction/39433/porto-de-sergipe-i-ccgt-power-plant-15gw,,,,,,,,
Multilateral,Multilateral,World Bank - International Finance Corporation,Porto do Acu III CCGT Power Plant (1673MW) PPP,1673,"$105,600,000 ",,,,,,,1/1/1950,2050,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,42766,,https://ijglobal.com/data/transaction/42766/porto-do-acu-iii-ccgt-power-plant-1673mw-ppp,,,,,,,,
Multilateral,Multilateral,World Bank - International Finance Corporation,Porto do Acu III CCGT Power Plant (1673MW) PPP,1673,"$250,000,000 ",,,,,,,1/1/1950,2050,Latin America & Caribbean,Brazil,"Acre, Alagoas, AmapÌÁ, Amazonas, Bahia, CearÌÁ, Distrito Federal, EspÌ_rito Santo, GoiÌÁs, MaranhÌ£o, Mato Grosso, Mato Grosso do Sul, Minas Gerais, ParÌÁ, ParaÌ_ba, ParanÌÁ, Pernambuco, PiauÌ_, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, RondÌ«nia, Roraima, Santa Catarina, SÌ£o Paulo, Sergipe, Tocantins",,#N/A,,,,,Gas,Gas-Fired,,,,42766,,https://ijglobal.com/data/transaction/42766/porto-do-acu-iii-ccgt-power-plant-1673mw-ppp,,,,,,,,
Japan (company),Japan (company),Mitsubishi Hitachi Power Systems,Vale Azul II Gas-Fired Power Plant (466MW),466,,,,,,,,1/1/1950,2050,Latin America & Caribbean,Brazil,Rio de Janeiro,,#N/A,,,,,Gas,Gas-Fired,,,,44334,,https://ijglobal.com/data/transaction/44334/vale-azul-ii-gas-fired-power-plant-466mw,,,,,,,,
