Financing Country  (and entity),Financing Country,Institution,Project Name ,MW, Amount (in USD)  , Amount Sources , Estimated Amount2 , Total Project Value , TPV Sources , EPC Revenue , Insurance cover ,Financial Close Date,Year Financed,Region ,Recipient Country ,Recipient Subregion,Sponsors/Parents,Project Sponsor (GCPT)2,EPC Company,Generator Manufacturer,Turbine Maker,Boiler Maker,Sector Group ,Sector ,Latitude,Longitude,Location Accuracy,Phase ID,URL,Source 1,Source 2,Source 3+,GEMTrackerIDs,GEMTrackerLOC,Other and Chinese Names,OpYEAR,Plant Type ,Coal Mine Size (Mtpa)
Japan,Japan,Japan Bank for International Cooperation (JBIC),Duyen Hai Plant 3 (1905MW),1905,"$409,910,000 ",,,,,,,3/31/2015,2015,Southeast Asia,Vietnam,,Vietnam Electricity (EVN),,,,Toshiba Manufacturing Co (TOSHIBA),Babcock & Wilcox Beijing (BWBC),Coal Power Plant,Coal Power Plant - Expansion,9.58517,106.52809,,PH049.01,http://bit.ly/1fzuXQK,http://www.jbic.go.jp/en/information/press/press-2014/0331-37582,http://sekitan.jp/jbic/wp-content/uploads/2014/01/Lists-of-Approved-Coal-Investments-by-JBIC-April-2015.pdf,,,L104347,,2019,Supercritical,
Japan,Japan,Nippon Export and Investment Insurance (NEXI),Duyen Hai Plant 3 (1905MW),1905,"$274,000,000 ",,,,,,,3/31/2015,2015,Southeast Asia,Vietnam,,Vietnam Electricity (EVN),,,,Toshiba Manufacturing Co (TOSHIBA),Babcock & Wilcox Beijing (BWBC),Coal Power Plant,Coal Power Plant - Expansion,9.58517,106.52809,,PH049.01,http://bit.ly/1fzuXQK,http://www.jbic.go.jp/en/information/press/press-2014/0331-37582,http://www.jbic.go.jp/en/information/press/press-2014/0331-37582JAECES Data,,,L104347,,,Supercritical,
Japan,Japan,Japan International Cooperation Agency (JICA),Thai Binh 1 Coal Plant & Transmission (600MW),600,"$307,397,176 ",,,,,,,1/26/2015,2015,Southeast Asia,Vietnam,Thai Binh,ELECTRICITY OF VIETNAM (EVN),,Marubeni Corp (MARUBENI),Fuji Electric Co Ltd (FUJI),Fuji Electric Co Ltd (FUJI),Foster Wheeler Energy Corp (FW),Coal Power Plant,Coal Power Plant - New,20.4809977,106.5604517,,PH160.01,http://bit.ly/1dEThpk,http://www.jica.go.jp/english/news/press/2014/150130_01.html,,,,L104341,,2017,Subcritical,
Japan,Japan,Japan International Cooperation Agency (JICA),Thai Binh 1 Coal Plant & Transmission (600MW),600,"$78,412,530 ",,,,,,,7/4/2015,2015,Southeast Asia,Vietnam,Thai Binh,Government of Vietnam,,,Fuji Electric Co Ltd (FUJI),Fuji Electric Co Ltd (FUJI),Foster Wheeler Energy Corp (FW),Coal Power Plant,Coal Power Plant - New,20.4809977,106.5604517,,PH160.02,http://bit.ly/1dEThpk,http://www.jica.go.jp/english/news/press/2015/150706_01.html,http://www.jica.go.jp/english/news/press/2015/150706_01.html,,,L104341,,2017,Subcritical,
China,China,Export Import Bank of China (Chexim),Hai Duong Coal-Fired Power Plant (1200MW),1200,"$467,330,000 ",,,,,,,10/1/2015,2015,Southeast Asia,Vietnam,,JAKS Resources and China Power Engineering Consulting Group (EnergyChina),,,,Harbin Electrical Equipment (HARBIN),,Coal Power Plant,Coal Power Plant - New,21.0335,106.41218,exact,PH062.01,http://bit.ly/1ocbv6b,https://ijglobal.com/data/transaction/34394/hai-duong-coal-fired-power-plant-1200mw,https://klse.i3investor.com/blogs/Jaks%20resources/2019-01-13-story189891-Understanding_Jaks_Hai_Duong_thermal_power_plant_in_Vietnam.jsp,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2019-05-06/190814.html,,L104311,,2019,,
China (majority bank),China,China Construction Bank (CCB),Hai Duong Coal-Fired Power Plant (1200MW),1200,"$467,330,000 ",,,,,,,10/1/2015,2015,Southeast Asia,Vietnam,,JAKS Resources and China Power Engineering Consulting Group (EnergyChina),,,,Harbin Electrical Equipment (HARBIN),,Coal Power Plant,Coal Power Plant - New,21.0335,106.41218,exact,PH062.01,http://bit.ly/1ocbv6b,https://ijglobal.com/data/transaction/34394/hai-duong-coal-fired-power-plant-1200mw,https://klse.i3investor.com/blogs/Jaks%20resources/2019-01-13-story189891-Understanding_Jaks_Hai_Duong_thermal_power_plant_in_Vietnam.jsp,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2019-05-06/190814.html,,L104311,,2019,,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),Hai Duong Coal-Fired Power Plant (1200MW),1200,"$467,330,000 ",,,"$1,912,000,000 ",,,,10/1/2015,2015,Southeast Asia,Vietnam,,JAKS Resources and China Power Engineering Consulting Group (EnergyChina),,,,Harbin Electrical Equipment (HARBIN),,Coal Power Plant,Coal Power Plant - New,21.0335,106.41218,exact,PH062.01,http://bit.ly/1ocbv6b,https://ijglobal.com/data/transaction/34394/hai-duong-coal-fired-power-plant-1200mw,https://klse.i3investor.com/blogs/Jaks%20resources/2019-01-13-story189891-Understanding_Jaks_Hai_Duong_thermal_power_plant_in_Vietnam.jsp,http://www.cec.org.cn/zdlhuiyuandongtai/qita/2019-05-06/190814.html,,L104311,,2019,,
South Korea,South Korea,Export-Import Bank of Korea (Kexim),Song Hau 1 Power Plant (1200MW),1200,"$480,000,000 ",,,,,,,11/23/2016,2016,Southeast Asia,Vietnam,Hau Giang,PetroVietnam,,PetroVietnam Technical Services (PTSC),Doosan Engineering & Construction (DOOSAN),Doosan Engineering & Construction (DOOSAN),Doosan Engineering & Construction (DOOSAN),Coal Power Plant,Coal Power Plant - New,9.95266,105.86071,,PH148.01,http://bit.ly/1dET5q5,http://nangluongvietnam.vn/news/en/electricity/signing-the-credit-and-commercial-loan-contracts-for-song-hau-1-thermal-power-project.html,https://www.koreaexim.go.kr/site/program/board/basicboard/list?boardtypeid=18&menuid=002002004005,,,L104315,,2019,Supercritical,
South Korea,South Korea,Korea Trade Insurance Corporation (K-sure),Song Hau 1 Power Plant (1200MW),1200,"$507,000,000 ",,,,,,,11/23/2016,2016,Southeast Asia,Vietnam,Hau Giang,PetroVietnam,,PetroVietnam Technical Services (PTSC),Doosan Engineering & Construction (DOOSAN),Doosan Engineering & Construction (DOOSAN),Doosan Engineering & Construction (DOOSAN),Coal Power Plant,Coal Power Plant - New,9.95266,105.86071,,PH148.01,http://bit.ly/1dET5q5,http://nangluongvietnam.vn/news/en/electricity/signing-the-credit-and-commercial-loan-contracts-for-song-hau-1-thermal-power-project.html,https://ijglobal.com/data/transaction/35185/song-hau-1-coal-fired-power-plant-1200mw,SFOC has financing for this project at 518 million USD,,L104315,,2019,Supercritical,
Japan,Japan,Japan International Cooperation Agency (JICA),Thai Binh 1 Coal Plant & Transmission (600MW),600,"$500,000,000 ",,,,,,,1/1/2016,2016,Southeast Asia,Vietnam,,"Electricty of Vietnam, Electricity Generation Corporation 3, PetroVietnam, Vinacomin",,,,,,Coal Power Plant,Coal Power Plant,20.4828445,106.563262,,PH160.03,http://bit.ly/1dEThpk,https://www.sourcewatch.org/index.php/Thai_Binh_Power_Center,https://www.jica.go.jp/english/news/press/2016/c8h0vm00009vy7rz-att/160530_02_pdf_03.pdf,,,L104341,,2017,#ERROR!,
